,hmid,wid,reflection_period,original_hm,cleaned_hm,modified,num_sentence,ground_truth_category,predicted_category,age,country,gender,marital,parenthood
0,27675,1936,24h,I went to the gym this morning and did yoga.,I went to the gym this morning and did yoga.,True,1,,exercise,30,USA,f,married,y
1,27684,78,24h,I completed my 5 miles run without break. It makes me feel strong.,I completed my 5 miles run without break. It makes me feel strong.,True,2,,exercise,28,USA,f,married,y
2,27750,35,24h,Going for some running and exercising after three days break.,Going for some running and exercising after three days break.,True,1,,exercise,26,IND,m,single,n
3,27761,1430,24h,After taking some off at the gym(due to illness) I was able to wake up early and complete my normal squat workout at the same weight I had done prior to my break. ,After taking some off at the gym(due to illness) I was able to wake up early and complete my normal squat workout at the same weight I had done prior to my break. ,True,1,,exercise,33,USA,m,single,n
4,91747,1430,3m,I went on my first official vacation in 9 years on an international trip with a gym group. ,I went on my first official vacation in 9 years on an international trip with a gym group. ,True,1,,exercise,33,USA,m,single,n
5,27769,76,24h,I went to sportsclub and did running and exercise that's why I feel very fresh and happy.,I went to sports club and did running and exercise that's why I feel very fresh and happy.,False,1,,exercise,29,IND,m,married,y
6,27812,213,24h,"Its the little things, when I went to the gym today to do squats and other leg lifts, the power-cage was open all afternoon.","Its the little things, when I went to the gym today to do squats and other leg lifts, the power-cage was open all afternoon.",True,1,,exercise,30,USA,f,married,y
7,27823,4002,24h,"I run run run and run, finally i catch a bus disappearing form my eyes. Its make me feel nice.","I run run run and run, finally i catch a bus disappearing form my eyes. Its make me feel nice.",True,2,,exercise,37,IND,m,married,y
8,27839,947,24h,i have run for 6 miles and the feeling is great.,i have run for 6 miles and the feeling is great.,True,1,,exercise,25,USA,m,single,n
9,36289,947,24h,I managed to run for 5 miles today. ,I managed to run for 5 miles today. ,True,1,,exercise,25,USA,m,single,n
10,27849,1115,24h,I went for a long run on a trail near my house.,I went for a long run on a trail near my house.,True,1,,exercise,38,USA,f,married,y
11,27904,1510,24h,I went to my local gym to lift weight and do cardio. The shower afterwards was refreshing.,I went to my local gym to lift weight and do cardio. The shower afterwards was refreshing.,True,2,,exercise,38,USA,m,single,n
12,27949,589,24h,I finally went for a run and worked out and it felt great to be taking care of my body.,I finally went for a run and worked out and it felt great to be taking care of my body.,True,1,,exercise,30.0,USA,m,single,n
13,120603,589,24h,I went for a jog in the nice morning air and it made me feel great.,I went for a jog in the nice morning air and it made me feel great.,True,1,,exercise,30.0,USA,m,single,n
14,28126,383,24h,I went to the gym,I went to the gym,True,1,,exercise,66,USA,m,married,y
15,119627,383,24h,i was at the gym,i was at the gym,True,1,,exercise,66,USA,m,married,y
16,28277,3505,24h,I completed a fitness goal this morning that I had set for myself a while ago; run a full mile before going to work.,I completed a fitness goal this morning that I had set for myself a while ago; run a full mile before going to work.,True,1,,exercise,32.0,USA,m,married,n
17,28309,3315,24h,"I had a really tough workout in the morning, and I managed to complete it while running incredibly quickly!","I had a really tough workout in the morning, and I managed to complete it while running incredibly quickly!",True,1,,exercise,20.0,USA,f,single,n
18,28346,1922,24h,I went for a 2 hour run that made me feel great. I can feel myself getting in better shape and that makes me feel good.,I went for a 2 hour run that made me feel great. I can feel myself getting in better shape and that makes me feel good.,True,2,,exercise,28.0,USA,m,single,n
19,28349,398,24h,I went to the gym today and was about to run for 30 minutes straight. ,I went to the gym today and was about to run for 30 minutes straight. ,True,1,,exercise,29,USA,m,single,n
20,46054,398,24h,I ran 5 miles.,I ran 5 miles.,True,1,exercise,exercise,29,USA,m,single,n
21,87806,398,3m,I ran a personal best in a 5K race.,I ran a personal best in a 5K race.,True,1,,exercise,29,USA,m,single,n
22,113646,398,24h,I went on a run.,I went on a run.,True,1,,exercise,29,USA,m,single,n
23,28351,545,24h,Going to the gym during my lunch break made me happy,Going to the gym during my lunch break made me happy,True,1,,exercise,27,USA,f,single,y
24,28853,545,24h,Staying at home after going to the gym and being alone,Staying at home after going to the gym and being alone,True,1,,exercise,27,USA,f,single,y
25,72806,545,3m,Hitting the gym in the morning made me feel much better,Hitting the gym in the morning made me feel much better,True,1,,exercise,27,USA,f,single,y
26,94081,545,3m,Getting compliments from my trainer at the gym.,Getting compliments from my trainer at the gym.,True,1,,exercise,27,USA,f,single,y
27,28363,47,24h,I was able to run for 5 miles. This is the most I have ever done.,I was able to run for 5 miles. This is the most I have ever done.,True,2,,exercise,41,USA,m,married,n
28,28370,10357,24h,I got to go to yoga and relax for an hour ,I got to go to yoga and relax for an hour ,True,1,,exercise,34.0,USA,f,married,y
29,28872,10357,24h,I went to the gym in the morning. ,I went to the gym in the morning. ,True,1,,exercise,34.0,USA,f,married,y
30,28390,124,24h,I went for a jog.,I went for a jog.,True,1,,exercise,28,USA,m,single,n
31,52900,124,24h,I went for a jog.,I went for a jog.,True,1,,exercise,28,USA,m,single,n
32,28391,11424,24h,I went to the gym and was able to bench press 315 lbs.,I went to the gym and was able to bench press 315 lbs.,True,1,,exercise,25.0,USA,m,single,n
33,28406,1910,24h,"I ran this morning for 4 miles, usually I only go for 2 miles, but I pushed myself today to see how far I could go. ","I ran this morning for 4 miles, usually I only go for 2 miles, but I pushed myself today to see how far I could go. ",True,1,,exercise,50.0,USA,m,divorced,y
34,28417,2366,24h,I went to the gym and really enjoyed how awesome my workout was afterwards. ,I went to the gym and really enjoyed how awesome my workout was afterwards. ,True,1,,exercise,30,USA,o,single,n
35,58326,2366,3m,"I went mountain biking for the first time this year. It was a short ride, but it felt good to be back on the bike again!","I went mountain biking for the first time this year. It was a short ride, but it felt good to be back on the bike again!",True,2,,exercise,30,USA,o,single,n
36,114343,2366,24h,I went for a run last night for the first time in a while. ,I went for a run last night for the first time in a while. ,True,1,,exercise,30,USA,o,single,n
37,28501,433,24h,I went to the gym and felt proud of myself after.,I went to the gym and felt proud of myself after.,True,1,,exercise,26,USA,m,single,n
38,44958,433,24h,I went to the gym and in the mirror reflection I think I looked good.,I went to the gym and in the mirror reflection I think I looked good.,True,1,exercise,exercise,26,USA,m,single,n
39,28541,616,24h,I worked out at the gym and got a lot done during it. ,I worked out at the gym and got a lot done during it. ,True,1,,exercise,32,USA,f,married,y
40,28566,3295,24h,I went outside to see if it was warm enough for a bike ride..  it was so i went for a three mile ride. never rode that far in one session and i was happy i did.  good excrecise.,I went outside to see if it was warm enough for a bike ride..  it was so i went for a three mile ride. never rode that far in one session and i was happy i did.  good excercise.,False,3,,exercise,43.0,USA,f,married,y
41,28574,810,24h,I had a great workout at the gym.,I had a great workout at the gym.,True,1,,exercise,25,USA,m,single,n
42,90308,810,3m,I went for a really long run.,I went for a really long run.,True,1,,exercise,25,USA,m,single,n
43,123274,810,24h,I ran 5 miles in a race.,I ran 5 miles in a race.,True,1,,exercise,25,USA,m,single,n
44,28587,1541,24h,I went to the gym and exercised on the elliptical and lifted weights after work.,I went to the gym and exercised on the elliptical and lifted weights after work.,True,1,,exercise,31.0,USA,m,single,n
45,28636,171,24h,I ran a mile under 6 minutes today and it made me feel fast.,I ran a mile under 6 minutes today and it made me feel fast.,True,1,,exercise,31,USA,m,married,n
46,106990,171,3m,I ran a mile under 6:30 and feel like I'm in great shape.,I ran a mile under 6:30 and feel like I'm in great shape.,True,1,,exercise,31,USA,m,married,n
47,120013,171,24h,I had a nice easy run this morning before work.,I had a nice easy run this morning before work.,True,1,,exercise,31,USA,m,married,n
48,28641,1658,24h,A girl that I have a crush on showed up to the gym while I was working out this morning.,A girl that I have a crush on showed up to the gym while I was working out this morning.,True,1,,exercise,22.0,USA,m,single,n
49,28682,137,24h,I went to the gym and ran for 20 minutes.,I went to the gym and ran for 20 minutes.,True,1,,exercise,28.0,USA,m,divorced,n
50,100485,137,3m,"I walked an extra half mile today on lunch, without being late getting back.","I walked an extra half mile today on lunch, without being late getting back.",True,1,,exercise,28.0,USA,m,divorced,n
51,28726,1082,24h,I had a great workout at the gym yesterday.,I had a great workout at the gym yesterday.,True,1,,exercise,24,USA,m,single,n
52,86258,1082,3m,Finishing my crossfit workout yesterday ,Finishing my crossfit workout yesterday ,True,1,,exercise,24,USA,m,single,n
53,102934,1082,3m,Starting phase II of my workout routine which I am better suited to show my strengths in,Starting phase II of my workout routine which I am better suited to show my strengths in,True,1,,exercise,24,USA,m,single,n
54,116097,1082,24h,I had a great deadlift day at the gym,I had a great deadlift day at the gym,True,1,,exercise,24,USA,m,single,n
55,28729,2660,24h,"I did yoga yesterday which relaxed me and allowed me to stretch my body. This helped me feel more positive throughout the day.

","I did yoga yesterday which relaxed me and allowed me to stretch my body. This helped me feel more positive throughout the day.

",True,2,,exercise,33.0,USA,m,married,n
56,28730,561,24h,I went to the gym. Hitting a new personal record on the bench press made me more confident in my abilities.  ,I went to the gym. Hitting a new personal record on the bench press made me more confident in my abilities.  ,True,2,exercise,exercise,21,USA,m,single,n
57,29734,561,24h,Went for a jog around my neighborhood in the early morning. It felt great to witness the sun rise as I finished.  ,Went for a jog around my neighborhood in the early morning. It felt great to witness the sun rise as I finished.  ,True,2,,exercise,21,USA,m,single,n
58,28733,581,24h,I went to the gym to lift weights.,I went to the gym to lift weights.,True,1,,exercise,26,USA,f,single,n
59,43942,581,24h,Going to the gym to work out made me happy.,Going to the gym to work out made me happy.,True,1,,exercise,26,USA,f,single,n
60,121217,581,24h,Getting ready to go to the gym finally.,Getting ready to go to the gym finally.,True,1,,exercise,26,USA,f,single,n
61,28734,422,24h,"I finished my workout this morning and felt energized.
","I finished my workout this morning and felt energized.
",True,1,,exercise,26,USA,f,single,n
62,38776,422,24h,I went for a bike ride in the sunshine. ,I went for a bike ride in the sunshine. ,True,1,,exercise,26,USA,f,single,n
63,50682,422,24h,I had an energizing morning workout.,I had an energizing morning workout.,True,1,exercise,exercise,26,USA,f,single,n
64,83842,422,3m,I had a nice run outside,I had a nice run outside,True,1,,exercise,26,USA,f,single,n
65,121774,422,24h,I got through a tough workout.,I got through a tough workout.,True,1,,exercise,26,USA,f,single,n
66,28736,4884,24h,I went for a run and broke my personal best for a 5k time.,I went for a run and broke my personal best for a 5k time.,True,1,,exercise,24,USA,m,single,n
67,28746,1053,24h,I was happy when I got to go to back to the gym.,I was happy when I got to go to back to the gym.,True,1,,exercise,28,USA,m,single,n
68,28753,657,24h,I went to the gym and had a good workout.,I went to the gym and had a good workout.,True,1,,exercise,29,USA,m,single,n
